GRE Score,TOEFL Score,CGPA,SOP,LOR ,Research,Chance of Admit 
328,107,9.02,2.1,1.7,1,0.211
318,112,6.72,2.0,2.6,1,0.193
304,98,7.02,1.0,2.7,1,0.179
332,95,6.97,3.8,4.3,1,0.192
297,92,8.91,1.2,1.0,1,0.204
310,96,9.46,3.1,2.2,0,0.194
328,114,9.12,4.8,4.9,0,0.218
308,117,6.61,1.4,2.9,0,0.177
312,101,9.54,4.6,2.5,1,0.218
300,113,7.74,5.0,1.5,0,0.19
300,96,7.89,1.2,4.9,0,0.189
313,95,6.87,4.5,1.1,0,0.165
325,93,9.08,3.1,3.9,0,0.198
329,111,7.14,4.6,4.1,0,0.197
313,101,8.47,3.3,2.0,1,0.201
292,117,9.44,3.6,3.7,0,0.21
311,110,6.81,3.2,1.4,1,0.188
291,117,8.37,4.5,2.0,1,0.196
313,92,7.32,3.9,4.2,1,0.204
333,115,7.7,3.1,4.5,1,0.208
319,96,8.16,4.5,3.4,1,0.204
327,104,7.74,2.0,3.0,0,0.19
291,95,8.77,1.6,1.6,0,0.185
310,107,8.18,1.6,1.3,0,0.191
322,115,8.54,2.3,1.5,1,0.207
301,107,9.08,2.0,1.9,0,0.201
311,114,8.45,4.7,2.4,0,0.198
333,93,8.55,1.4,2.5,1,0.202
314,108,8.48,3.8,2.4,1,0.203
338,119,7.83,1.8,2.0,1,0.203
316,118,7.68,4.5,3.0,1,0.207
331,111,9.65,4.8,4.3,0,0.223
317,115,8.63,2.9,2.1,1,0.208
305,103,7.36,4.5,4.8,1,0.207
304,109,8.24,1.0,4.5,0,0.184
336,94,7.66,4.3,1.6,0,0.185
333,119,9.77,1.9,4.1,1,0.228
292,92,6.53,4.6,3.3,0,0.169
326,92,7.29,1.0,3.3,1,0.189
296,110,7.78,3.2,2.6,1,0.197
310,102,8.21,4.0,3.0,0,0.189
298,96,9.48,2.0,2.6,0,0.19
328,103,6.81,1.8,3.2,1,0.176
307,94,9.32,1.3,3.5,1,0.201
293,92,6.69,2.3,3.7,1,0.181
314,92,9.45,3.2,3.1,0,0.205
303,99,6.68,1.5,3.9,1,0.184
339,101,6.56,2.5,1.6,1,0.182
298,102,8.94,1.0,1.8,1,0.198
315,103,9.99,4.3,4.3,1,0.232
291,104,9.64,1.5,2.3,1,0.201
309,103,8.52,2.1,1.1,0,0.188
317,105,9.71,1.1,1.6,1,0.213
336,93,6.52,2.7,1.9,1,0.182
296,110,9.91,4.4,4.8,1,0.234
333,109,8.22,2.6,3.3,1,0.207
297,94,9.03,1.7,4.7,0,0.193
336,114,9.37,4.0,3.3,0,0.22
324,108,9.01,4.2,2.9,0,0.219
303,117,8.37,1.7,2.3,1,0.202
306,99,8.17,4.1,3.4,1,0.208
325,117,9.44,4.8,1.6,0,0.211
339,101,7.22,1.7,4.6,0,0.183
329,117,9.89,4.1,4.3,0,0.226
293,93,8.99,3.8,2.3,1,0.206
291,110,7.2,2.9,4.8,1,0.195
295,100,9.08,1.2,4.3,0,0.199
331,98,8.35,1.3,3.7,0,0.191
293,95,8.98,4.4,1.5,0,0.19
318,117,9.19,5.0,2.9,1,0.23
307,112,6.81,3.7,3.0,1,0.199
315,109,8.27,2.8,1.9,1,0.199
333,104,9.76,3.6,1.3,0,0.219
323,102,7.62,3.4,4.1,0,0.192
299,115,8.58,2.5,1.5,1,0.203
325,95,7.79,1.3,3.4,0,0.185
303,116,8.09,4.3,4.7,1,0.216
320,112,8.42,2.5,4.5,0,0.204
337,116,8.42,4.3,2.1,0,0.207
304,95,7.21,2.0,4.4,0,0.176
297,101,8.9,1.0,1.0,0,0.176
303,96,6.81,1.6,1.1,1,0.181
312,100,6.99,2.9,3.4,0,0.178
329,115,6.51,4.8,2.5,1,0.197
310,94,6.91,1.4,2.5,1,0.183
305,108,8.16,4.4,3.3,1,0.216
334,94,8.62,3.1,1.8,0,0.197
307,107,9.28,4.3,1.8,1,0.213
336,95,6.87,2.2,2.9,1,0.187
313,109,9.48,4.4,4.0,1,0.225
315,108,9.11,4.1,3.5,0,0.205
314,98,7.93,1.9,2.2,0,0.184
334,115,9.77,1.5,2.7,1,0.221
330,114,9.97,4.5,1.7,0,0.227
318,96,7.22,4.9,1.3,1,0.193
304,103,7.83,1.1,4.1,1,0.186
334,108,9.74,3.9,2.1,0,0.228
290,114,9.03,4.6,1.7,1,0.216
314,104,6.67,4.4,3.8,0,0.196
296,114,9.24,4.9,3.5,0,0.205
298,116,9.4,4.0,3.5,1,0.22
313,94,9.13,2.8,1.9,0,0.2
290,100,9.3,2.2,1.9,0,0.196
333,108,9.39,2.3,1.9,1,0.217
297,108,7.15,3.9,1.7,1,0.179
313,111,7.32,4.0,3.6,0,0.183
300,107,8.72,1.8,4.4,0,0.205
306,116,9.68,4.5,3.9,1,0.236
297,113,7.61,3.9,4.2,0,0.193
324,104,8.56,3.3,2.6,0,0.206
324,118,8.89,2.9,3.6,0,0.203
322,110,8.08,3.2,2.4,0,0.191
294,108,9.0,1.6,3.1,0,0.19
331,95,9.65,1.8,2.9,0,0.201
328,103,8.68,1.4,1.7,0,0.196
330,100,8.39,1.6,2.5,1,0.198
317,110,8.04,2.8,4.9,1,0.221
296,103,8.52,3.1,2.0,1,0.203
298,100,7.74,1.1,1.5,1,0.19
297,98,7.87,4.2,2.7,1,0.201
301,119,8.36,2.2,4.2,0,0.205
323,105,6.73,4.6,3.3,0,0.183
322,111,7.3,4.9,3.7,0,0.204
337,110,8.4,1.7,1.8,0,0.196
312,117,8.01,2.8,3.5,1,0.213
313,106,7.66,1.0,2.3,0,0.174
326,107,9.06,3.4,4.3,0,0.212
324,112,8.93,3.4,3.5,1,0.219
333,96,7.08,2.0,1.8,0,0.175
329,94,9.58,3.2,1.3,0,0.205
311,103,8.23,1.9,1.2,1,0.202
316,116,9.1,1.6,2.5,0,0.198
324,111,8.51,3.6,2.1,0,0.205
290,118,9.99,2.3,3.6,0,0.205
324,112,9.13,3.4,3.0,0,0.219
326,95,8.97,2.7,2.1,0,0.202
336,112,9.23,4.9,1.6,1,0.231
303,114,7.0,1.6,1.5,1,0.187
292,107,7.22,2.9,4.5,1,0.197
290,116,9.0,3.7,2.0,1,0.214
294,98,8.23,2.6,3.6,1,0.198
315,104,9.14,4.9,4.2,1,0.215
303,112,6.86,3.9,3.5,0,0.187
328,101,8.38,3.6,4.4,1,0.21
316,117,7.83,4.0,2.6,1,0.201
298,98,8.1,4.8,4.8,0,0.202
304,105,8.61,4.6,1.5,0,0.195
304,117,8.26,3.9,1.4,1,0.21
315,96,8.39,4.0,3.6,0,0.195
331,94,8.2,1.6,4.8,1,0.203
302,114,7.93,1.4,4.2,0,0.196
321,102,9.2,3.3,1.3,1,0.212
328,102,6.54,1.1,2.1,0,0.164
338,109,8.59,2.9,4.7,0,0.21
321,106,8.48,1.8,2.0,1,0.21
293,103,9.01,2.4,4.1,1,0.207
319,100,8.6,4.1,4.3,1,0.218
326,101,9.39,4.8,3.0,1,0.219
312,117,9.86,1.3,2.5,1,0.217
328,103,7.7,3.1,2.8,0,0.197
334,108,7.3,4.5,1.9,1,0.202
304,97,7.98,1.3,4.6,1,0.204
332,98,7.51,4.3,2.8,0,0.194
318,105,8.65,2.4,4.5,0,0.213
325,104,9.69,2.3,1.4,1,0.206
302,99,6.99,4.9,5.0,0,0.189
321,101,6.85,1.8,2.8,0,0.171
296,100,7.4,3.8,1.2,1,0.183
311,109,9.04,4.3,1.2,0,0.197
317,118,8.58,1.2,4.0,0,0.201
291,117,6.86,3.7,3.6,1,0.195
331,93,9.72,4.8,4.2,1,0.23
334,96,9.27,1.5,1.4,0,0.191
295,96,6.58,4.6,1.1,0,0.169
317,97,8.78,3.4,3.0,1,0.205
317,110,9.2,3.5,2.6,0,0.211
333,99,7.81,3.5,2.8,0,0.189
333,107,6.74,2.2,5.0,0,0.187
309,104,6.77,4.7,4.9,1,0.202
319,92,6.86,4.8,4.8,0,0.186
300,113,9.44,3.5,4.1,0,0.215
317,111,9.69,4.1,2.4,1,0.231
314,108,6.93,3.4,2.6,0,0.183
328,98,7.33,2.9,3.2,0,0.191
322,116,7.08,3.6,4.3,1,0.193
290,104,7.15,3.2,1.3,1,0.182
316,95,9.43,3.4,2.7,1,0.215
302,95,7.66,4.1,1.3,1,0.186
330,97,7.59,2.9,3.1,0,0.19
292,119,7.3,1.2,4.6,0,0.19
328,110,8.63,1.7,4.1,1,0.203
295,103,7.83,2.8,1.9,1,0.186
297,113,9.1,3.9,4.9,0,0.212
316,98,7.22,3.4,3.7,1,0.198
298,118,9.26,3.6,1.0,0,0.205
326,101,8.61,2.9,2.0,1,0.207
322,117,6.9,3.5,2.0,0,0.187
331,110,7.95,2.3,1.3,1,0.204
333,98,9.52,2.9,4.8,1,0.222
313,94,9.73,4.0,2.9,0,0.206
304,104,8.13,4.5,4.6,1,0.21
321,104,8.18,2.7,2.3,0,0.193
321,109,9.71,1.2,1.5,0,0.199
313,119,8.55,1.6,2.9,0,0.195
330,117,6.61,1.1,1.5,0,0.177
338,111,9.69,3.6,2.9,0,0.218
338,119,7.37,2.3,4.7,1,0.207
301,99,8.52,3.2,3.1,1,0.195
328,100,7.08,3.0,3.5,0,0.186
291,98,6.62,1.3,1.6,1,0.168
292,92,7.59,2.6,1.2,0,0.178
338,94,9.23,1.9,1.4,1,0.206
326,104,7.47,2.7,3.4,1,0.194
338,119,7.27,1.8,1.4,1,0.195
306,116,7.24,4.4,2.5,1,0.205
338,119,8.3,1.7,3.2,0,0.204
291,108,9.91,4.8,2.6,0,0.213
291,116,8.11,2.7,1.7,1,0.191
317,115,8.45,4.4,2.1,1,0.22
312,92,9.51,3.5,4.7,0,0.207
326,97,8.37,3.9,3.7,1,0.215
321,112,7.15,4.1,3.0,0,0.189
322,97,7.55,3.0,1.1,0,0.185
290,117,7.58,3.2,5.0,0,0.2
308,103,7.89,3.1,3.7,1,0.205
291,104,7.99,3.4,2.3,0,0.19
333,104,9.3,1.1,4.5,1,0.217
315,106,7.72,2.6,2.0,0,0.184
321,112,8.14,3.4,3.2,1,0.21
295,107,8.69,3.4,3.5,1,0.207
321,113,7.82,4.2,1.9,1,0.217
293,112,9.43,3.6,4.9,0,0.207
300,102,8.56,5.0,4.0,0,0.208
306,119,7.53,2.1,3.2,1,0.201
327,96,9.0,2.4,1.7,1,0.208
313,95,8.35,2.5,1.2,1,0.203
294,94,8.37,2.9,2.3,0,0.188
323,110,8.18,4.3,4.0,0,0.201
295,111,8.24,1.9,2.1,0,0.188
311,116,9.18,4.1,3.2,0,0.21
300,109,6.86,2.6,3.9,1,0.193
337,106,7.67,3.4,1.4,1,0.204
305,100,6.76,3.5,3.7,0,0.176
322,108,9.14,2.5,1.4,0,0.206
298,105,7.45,3.1,4.9,1,0.198
295,106,9.64,2.7,3.0,0,0.207
305,92,8.34,1.3,1.6,0,0.184
318,112,9.3,2.7,2.4,0,0.207
292,113,9.93,1.4,2.7,0,0.203
309,113,9.44,2.6,4.0,0,0.207
325,94,9.53,3.4,4.0,0,0.209
308,107,7.93,3.3,3.4,1,0.211
315,114,8.43,3.7,1.4,0,0.192
292,116,7.39,1.4,1.6,0,0.173
308,102,7.19,3.6,1.4,1,0.185
309,103,8.27,2.2,3.3,1,0.203
321,101,8.58,2.6,4.5,1,0.204
296,107,7.69,4.4,2.7,0,0.183
330,99,8.49,1.0,1.6,1,0.197
322,97,9.61,3.4,3.2,0,0.203
329,103,8.45,3.4,4.2,0,0.198
328,115,9.02,2.6,4.0,0,0.204
307,119,9.32,1.9,4.5,1,0.215
329,112,9.96,1.9,2.1,1,0.225
290,99,8.61,4.5,1.8,1,0.207
300,117,9.32,2.8,4.5,1,0.23
317,119,9.87,2.3,3.6,1,0.235
314,95,9.81,2.8,2.2,0,0.208
339,117,6.99,3.7,4.0,0,0.201
312,99,7.92,1.6,4.3,0,0.19
320,117,7.63,2.8,3.5,0,0.197
319,119,6.8,3.4,3.8,1,0.209
331,109,8.72,4.8,2.5,1,0.22
324,119,9.08,2.0,3.2,0,0.213
